;title;content;date;author;tags;url;website-domain;region
105;Iraniano tenta furto in una casa e picchia figlio e madre: arrestato;Un ladro 44enne di nazionalità iraniana è stato arrestato dai carabinieri dopo che ha cercato di perpetrare un furto in una casa di via Majorana a Quinto.Lo straniero è entrato nell’appartamento arrampicandosi su una grondaia fino al secondo piano.Poi ha forzato una porta finestra ed è entrato nella stanza dove dormivano due fratelli, maschio e femmina.Il 17enne si è svegliato e ha cercato di fermare il ladro che ha reagito tirandogli un pugno in faccia.Sentendo le urla è piombata nella stanza anche la madre, che ha ricevuto dall’iraniano uno schiaffo.Il ladro poi si è dato alla fuga. Tuttavia, non l’ha fatta franca. Perché i carabinieri del nucleo Radiomobile che sono tempestivamente intervenuti e hanno perlustrato la zona, lo hanno bloccato e arrestato poco dopo per i reati di tentata rapina impropria, lesioni personali e resistenza a pubblico ufficiale.La madre e il figlio, oltre al forte spavento, hanno riportato traumi giudicati guaribili rispettivamente in 7 e 5 giorni. ;2020-02-17; Liguria Notizie;['Arresti', 'Carabinieri', 'Liguria'];https://www.ligurianotizie.it/iraniano-tenta-furto-in-una-casa-e-picchia-figlio-e-madre-arrestato/2020/02/17/367786/;www.ligurianotizie.it;['liguria']
106;Tenta di rapinare tre automobilisti, arrestato in Via Prà;L’uomo, alto 1.80 e di robusta costituzione, ieri pomeriggio ha bloccato in successione tre autovetture in via Prà posizionandosi al centro della strada con le braccia aperte per poi cercare di afferrare i conducenti per scaraventarli fuori dall’abitacolo e rubargli la macchina.Per fortuna i tre malcapitati sono riusciti a scampare all’aggressione (una donna è stata presa per il collo ma si è salvata grazie alla cinture di sicurezza) ed a dare l’allarme alla Polizia.Gli agenti delle volanti, intervenuti rapidamente in soccorso delle tre vittime, hanno intercettato il “colosso” ancora in mezzo alla strada.L’uomo, con in mano un mazzo di chiavi tenuto come se fosse un pugnale, ha reagito con violenza nei confronti degli operatori riuscendo a scappare ed incurante dei veicoli in transito ha attraversato a tutta velocità la carreggiata rischiando di essere investito.Gli agenti lo hanno raggiunto e, dopo vari tentativi di mediazione, gli hanno spruzzato lo spray al peperoncino ma niente, il 52enne, forte del suo fisico, ha resistito anche a questo.A quel punto un agente, per interrompere l’azione violenta dell’uomo, lo ha colpito utilizzando la pistola elettrica (teaser).Il rapinatore, con svariati precedenti di Polizia, sarà processato per direttissima nella mattinata odierna.;2020-02-17; Liguria Notizie;['Arresti', 'Polizia', 'Liguria', 'Genova'];https://www.ligurianotizie.it/tenta-di-rapinare-tre-automobilisti-arrestato-in-via-pra/2020/02/17/367791/;www.ligurianotizie.it;['liguria']
107;Arrestato giovane pusher nei vicoli di Genova;La Polizia di Stato ha arrestato, ieri pomeriggio, un senegalese di 18 anni, pregiudicato e senza fissa dimora, per i reati di detenzione ai fini di spaccio di sostanze stupefacenti ,resistenza a P.U. e lesioni personali aggravate.Il ragazzo non appena ha visto avvicinarsi l’unità appiedata dell’Ufficio di Gabinetto, che giornalmente pattuglia il centro storico, ha iniziato a correre per dileguarsi nel dedalo dei vicoli.Gli agenti si sono divisi ed è iniziato un tortuoso inseguimento conclusosi con una colluttazione e il ferimento di entrambi gli operatori, giudicati poi guaribili in 7 giorni. All’interno del fazzoletto gettato a terra dal giovane un attimo prima di essere fermato vi erano 10 dosi di cocaina per un totale di 6 grammi. Con sé aveva inoltre 175 euro.Questa mattina la direttissima.;2020-02-17; Liguria Notizie;['Arresti', 'Droga', 'Liguria', 'Genova', 'Polizia', 'Pregiudicati', 'Gianfranco Fini'];https://www.ligurianotizie.it/arrestato-giovane-pusher-nei-vicoli-di-genova/2020/02/17/367796/;www.ligurianotizie.it;['liguria']
156;Tigullio, due uomini e una donna ubriachi al volante: denunciati. Patenti ritirate;Lo scorso fine settimana, al termine dei consueti servizi predisposti nell’area del Tigullio per il contrasto al fenomeno delle stragi del sabato sera, i Carabinieri hanno denunciato in stato di libertà 3 persone.A Sestri Levante, un 23enne alla guida del proprio veicolo, nel percorrere una rotatoria, ha investito un 18 enne, il quale, veniva trasportato è ricoverato all’ospedale di Genova San Martino, a seguito dei politraumi. E’ quindi intervenuto sul posto un equipaggio dell’aliquota Radiomobile, che ha denunciato il conducente per lesioni personali stradali gravi e guida in stato di ebbrezza, poiché risultato avere un tasso alcolemico pari a g/l 1,17. Patente di guida ritirata.A Chiavari una 38enne, dopo aver provocato un autonomo incidente, è stata sottoposta al test alcolemico dall’equipaggio dell’Aliquota Radiomobile, risultando avere un tasso alcolemico di g/l 1,75. Veicolo sottoposto a sequestro per successiva confisca. Documento di guida ritirato e denunciata per guida in stato di ebbrezza.A Santa Margherita Ligure un 49enne, fermato alla guida dalla locale pattuglia dei Carabinieri, è risultato avere un tasso alcolemico pari a g/l 0.96. Patente di guida ritirata e denunciato per guida in stato di ebbrezza alcolica. ;2020-02-17; Liguria Notizie;['Carabinieri', 'Liguria', 'Sestri Levante'];https://www.ligurianotizie.it/tigullio-due-uomini-e-una-donna-ubriachi-al-volante-denunciati-patenti-ritirate/2020/02/17/367824/;www.ligurianotizie.it;['liguria']
685;Dalla coltivazione alla vendita di marijuana: 33enne arrestato;La polizia di Genova ha arrestato ieri, in via Adamoli, un genovese di 33 anni per produzione e spaccio di sostanze stupefacenti.L’operazione è stata eseguita dai poliziotti del Commissariato Prè e ha avuto origine dalla segnalazione di alcuni cittadini che avevano notato uno strano via vai nei pressi di un’abitazione di viale Bracelli, in cui è risultato risiedere un giovane solito muoversi in auto tra il quartiere di Marassi e la località di Viganego dove ha in uso una piccola casetta, priva di mobilio e con tutte le utenze disattivate.Ieri pomeriggio, dopo una breve attività investigativa, gli agenti del Commissariato hanno proceduto alle perquisizioni di entrambi i domicili, scoprendo una vera e propria filiera dello spaccio.Nella casa di Viganego, infatti, sono state rinvenute tre serre di cui una contenente 20 piantine di marijuana, irradiate dalla luce di lampade alogene collegate al contatore generale tramite un impianto elettrico improvvisato.Nello stesso locale sono stati rinvenuto alcuni cesti contenenti inflorescenze della stessa pianta per un peso complessivo di circa 300 grammi nonché numerosi arbusti e fogliame, scarto della coltivazione dello stupefacente.Nell’appartamento di viale Bracelli è stato invece trovato tutto il materiale utile al confezionamento, tra cui una macchina sigillatrice per buste di plastica, numerosi sacchetti di cellophane e la somma di 900 euro in banconote di piccolo taglio.Il giovane, già gravato da precedenti specifici, è stato arrestato e associato al carcere di Marassi.;2020-02-18; Liguria Notizie;['Droga', 'Arresti', 'Polizia', 'Liguria', 'Genova'];https://www.ligurianotizie.it/dalla-coltivazione-alla-vendita-di-marijuana-33enne-arrestato/2020/02/18/367902/;www.ligurianotizie.it;['liguria']
686;Fugge alla polizia e picchia agenti: pusher genovese 22enne arrestato;Gli uomini del Commissariato Sestri hanno svolto un servizio per contrastare l’attività di spaccio all’interno dei giardini Piccardo a Voltri, dove numerosi minorenni si approvvigionano quotidianamente.Durante il controllo un giovane di 22 anni ha spontaneamente consegnato agli agenti due involucri contenenti marijuana ed è stato segnalato amministrativamente per uso personale.Il ragazzo che era con lui, invece, per sottrarsi all’identificazione, si è improvvisamente messo a correre. E’ stato fermato, in via Alessandro Poerio, dagli agenti dopo una breve colluttazione in cui ha sferrato un pugno sul naso ad un poliziotto ed una gomitata al volto al suo collega.Il pusher nascondeva all’interno degli slip 20 involucri contenenti quasi 32 grammi di marijuana e 180 euro.Durante la perquisizione presso il domicilio sono stati sequestrati altri 317 grammi di derivati dalla cannabisIl ragazzo, un 22enne genovese, è stato arrestato per detenzione ai fini di spaccio di sostanze stupefacenti, resistenza a Pubblico Ufficiale e lesioni personali aggravate e sarà processato per direttissima questa mattina.;2020-02-18; Liguria Notizie;['Polizia', 'Droga', 'Arresti', 'Liguria'];https://www.ligurianotizie.it/fugge-alla-polizia-e-picchia-agenti-pusher-genovese-22enne-arrestato/2020/02/18/367906/;www.ligurianotizie.it;['liguria']
791;Inquinamento torrente Lavagna: nei guai direttore lavori cantiere Moconesi;I Carabinieri Forestali oggi hanno riferito di avere identificato il responsabile dello scarico di acque reflue nel torrente Lavagna, proveniente dalla conduttura fognaria comunale.Si tratta del direttore dei lavori di un cantiere per la realizzazione di fabbricati produttivi sito in località Pezzonasca, del Comune di Moconesi.Da quanto accertato dai militari della Stazione dell’Arma di Cicagna, il responsabile ha ordinato di distaccare la tubazione collegata alla conduttura fognaria, a servizio della frazione, per poter proseguire i lavori di urbanizzazione riguardanti lo spostamento di un ponte.Il distaccamento ha provocato lo scarico in alveo e nel torrente Lavagna di acque reflue prive di depurazione, facendo affluire sostanze inquinate direttamente nelle acque.I Carabinieri Forestali hanno quindi richiesto l’intervento dell’ARPAL e dell’IREN per una più specifica valutazione della situazione.Infatti, oltre ad una sanzione amministrativa che varia da 6.000 a 60.000 euro, dietro successiva ordinanza di ingiunzione al pagamento da parte di Regione Liguria, si stanno valutando irregolarità penali in ambito edilizio, per danno ambientale ed accesso in alveo non autorizzato.Lo sversamento di acque reflue non depurate può comportare un’alterazione dei regolari parametri delle acque fluviali con conseguenze per la salute sia delle persone che della fauna. ;2020-02-18; Liguria Notizie;['Carabinieri', 'Liguria'];https://www.ligurianotizie.it/inquinamento-torrente-lavagna-nei-guai-direttore-lavori-cantiere-moconesi/2020/02/18/367919/;www.ligurianotizie.it;['liguria']
792;Atti vandalici su auto: 23enne cileno denunciato per danneggiamento aggravato;Un cileno di 23 anni, gravato da precedenti di polizia e mai rimpatriato, ieri è stato identificato dai Carabinieri di Rapallo come colui che nello scorso gennaio si era reso responsabile di una serie di atti vandalici su alcune auto parcheggiate in via Castruccio.Per il giovane straniero è quindi scattata la denuncia per danneggiamento aggravato. ;2020-02-18; Liguria Notizie;['Polizia', 'Carabinieri', 'Liguria', 'Rapallo'];https://www.ligurianotizie.it/atti-vandalici-su-auto-23enne-cileno-denunciato-per-danneggiamento-aggravato/2020/02/18/367923/;www.ligurianotizie.it;['liguria']
793;Rapallo, 31enne romeno senza fissa dimora ruba giubbotto: preso dai carabinieri;Un 31enne romeno senza fissa dimora, con precedenti, ieri è stato identificato quale autore del furto perpetrato a fine gennaio all’interno di un negozio di abbigliamento a Rapallo.Dopo aver rimosso le placche anti-taccheggio, lo straniero si era impossessato di un giubbotto del valore commerciale di 70 euro.I carabinieri della Stazione dell’Arma di Rapallo lo hanno quindi in stato di libertà per furto in esercizio commerciale, riuscendo anche a recuperare la refurtiva. ;2020-02-18; Liguria Notizie;['Liguria', 'Rapallo', 'Carabinieri'];https://www.ligurianotizie.it/rapallo-31enne-romeno-senza-fissa-dimora-ruba-giubbotto-preso-dai-carabinieri/2020/02/18/367925/;www.ligurianotizie.it;['liguria']
794;Pregiudicato chiavarese mangia pizza a sbafo, non paga e se ne va: denunciato;Ieri i Carabinieri di Chiavari, a conclusione di una breve indagine, hanno identificato e denunciato all’Autorità Giudiziaria un pregiudicato per truffa e insolvenza fraudolenta.Il chiavarese, alcuni giorni prima, dopo aver consumato un pasto presso una pizzeria della cittadina del Tigullio, si era allontanato dal locale con il pretesto di andare a prelevare il denaro necessario per pagare quanto consumato, rendendosi irreperibile.Il titolare dell’esercizio aveva quindi sporto denuncia dell’accaduto. ;2020-02-18; Liguria Notizie;['Pregiudicati', 'Carabinieri', 'Liguria', 'Chiavari', 'Inchieste-investigazioni-indagini', 'Truffe'];https://www.ligurianotizie.it/pregiudicato-chiavarese-mangia-pizza-a-sbafo-non-paga-e-se-ne-va-denunciato/2020/02/18/367927/;www.ligurianotizie.it;['liguria']
