;title;content;date;author;tags;url;website-domain;region
21041;CORONAVIRUS: DENUCIATE 3 PERSONE CON DROGA;"  (ASIpress) - Pescara 25 mar. 2020  - 


La Guardia di Finanza di Pescara, nell'ambito dei controlli per l'osservanza del decreto che vieta di allontanarsi da casa senza giustificato motivo, hanno denunciato tre persone. Il primo è un italiano di 30 anni trovato in possesso di 3,5 grammi di cocaina, il secondo è un romeno di 21 anni, trovato con due suoi connazionali presso l'agglomerato di case popolari del ""Ferro di Cavallo"" di Pescara in possesso di 0,7 grammi di cocaina e il terzo è una donna di 50 anni di origine straniera, trovata in possesso di 1 grammo di eroina e di 0,2 grammi di cocaina, anch'essa nelle vicinanze della stessa zona. Tutti e tre sono stati denunciati per inosservanza dei provvedimenti dell'autorità e segnalati al Not della Prefettura di Pescara in quanto consumatori di droga.





(ASIpress) Red - Cronaca Abruzzo - cod.43938 (25/03/2020 10:51:33)   ";2020-03-25; ASIpress;['Guardia di Finanza', 'Abruzzo', 'Pescara', 'Decreti'];https://www.asipress.it/notizia_dettaglio.asp?id=43938;www.asipress.it;['abruzzo']
22044;DROGA: ARRESTATO 40ENNE CON EROINA NELLE MUTANDE;"  (ASIpress) - L'Aquila 27 mar. 2020  - 


Ieri sera gli agenti della Questura di L'Aquila hanno arerstato per detenzione di droga ai fini dello spaccio G.C., 40 anni. Nel corso di un'attività sulle persone provenienti da Roma e scese alla fermata all'hotel Amiternum, i poliziotti lo hanno controllato e l'uomo ha consegnato spontaneamente un involucro con all'interno circa mezzo grammo di eroina. Deciso di approfondire il controllo lo hanno portato in ufficio trovandogli nelle mutande altri 25 grammi di eroina. Al termine delle formalità è stato messo ai domiciliari. Per lui anche la denuncia per inosservanza dei provvedimenti dell'Autorità in quanto non ha saputo giustificare perchè si trovasse fuori casa.





(ASIpress) Red - Cronaca Abruzzo - cod.43954 (27/03/2020 11:50:43)   ";2020-03-27; ASIpress;"['Droga', 'Arresti', ""L'Aquila"", 'Gianfranco Fini', 'Lazio', 'Roma']";https://www.asipress.it/notizia_dettaglio.asp?id=43954;www.asipress.it;['lazio']
22092;DROGA: ARRESTATO 23ENNE CON 150 GRAMMI DI MARIJUANA;"  (ASIpress) - Francavilla (Chieti) 27 mar. 2020  - 


Ieri la Squadra Mobile diChieti ha arrestato per detenzione ai fini di spaccio di sostanze stupefacenti un 23enne di Francavilla al Mare. Gli agenti hanno notato due persone a bordo di una vettura girovagare in maniera anomala e pertanto procedevano al controllo dell'autovettura. Appena intimato l'alt, dal mezzo è sceso il passeggero che ha tentato la fuga, ma dopo un breve inseguimento è stato bloccato. Sottoposto a perquisizione è stato trovato in possesso di tre involucri contenenti 150 grammi di marijuana. A seguito della perquisizione domiciliare è stata trovata altra sostanza dello stesso tipo. Considerati i suoi precedenti specifici è stato arrestato e per lui è scattata anche la denuncia per inosservanza dei provvedimenti dell'Autorità in quanto fuori dalla sua abitazione senza motivo di necessità.





(ASIpress) Red - Cronaca Abruzzo - cod.43955 (27/03/2020 13:51:08)   ";2020-03-27; ASIpress;['Droga', 'Arresti', 'Gianfranco Fini', 'Abruzzo', 'Francavilla Al Mare'];https://www.asipress.it/notizia_dettaglio.asp?id=43955;www.asipress.it;['abruzzo']
24598;GIOVANE SCOMPARE DA CASA IN BICI, RITROVATO STAMATTINA;"  (ASIpress) - Pineto (Teramo) 2 apr. 2020  - 


Polizia, Soccorso Alpino e Speleologico e Carabinieri hanno ritrovato stamattina alle 10.00 un giovane dato per disperso da ieri a Pineto. Ha passato la notte al freddo ma è in buone condizioni. Ieri mattina all'alba si è allontanato volontariamente dalla propria abitazione e in sella a una bici ha fatto perdere le sue tracce. Il Soccorso Alpino e Speleologico Abruzzo, allertato ieri sera intorno alle 21,00, ha messo a disposizione la propria unità cinofila molecolare che, insieme a una unità analoga dell'Associazione Nazionale Carabinieri e a una da ricerca della Polizia, ha percorso una traccia di circa 10 km. Dalle colline intorno all'abitazione fino al paese,  i soccorritori hanno continuato lungo la pista ciclabile che costeggia il mare in direzione Nord, e da lì alle campagne di Scerne, luogo in cui poi il giovane è stato ritrovato. Determinanti le indicazioni dei cani molecolari, con i conduttori che li hanno impiegati a staffetta, facendoli alternare lungo il percorso e indirizzandoli anche grazie alla testimonianza di una persona che sembrava aver avvistato il giovane. Il ragazzo è stato riportato a casa.





(ASIpress) Red - Cronaca Abruzzo - cod.44020 (02/04/2020 16:18:28)   ";2020-04-2; ASIpress;['Polizia', 'Soccorso Alpino', 'Carabinieri', 'Abruzzo', 'Pineto'];https://www.asipress.it/notizia_dettaglio.asp?id=44020;www.asipress.it;['abruzzo']
25435;POLIZIA SVENTA FURTO PRODOTTI IGIENIZZANTI;"  (ASIpress) - Pescara 4 apr. 2020  - 


Stanotte la Squadra Volante di Pescara in servizio di controllo del territorio, ha individuato due uomini in via Tiburtina, poi identificati per T.A italiano e M.L.G. romeno, i quali trasportavano con 2 biciclette una quantità di prodotti igienizzanti per superfici ed ambiente. Da immediati accertamenti è emerso che tali prodotti erano stati appena rubati dal vicino magazzino del Carrefour, in cui si erano introdotti scavalcando e danneggiando con un coltello una rete di recinzione. I prodotti, del valore complessivo di 350 euro, sono stati restituiti all'esercente, mentre gli autori del furto sono stati denunciati per furto aggravato in concorso. Per il romeno è scattata anche la denuncia per possesso ingiustificato di armi e oggetti atti ad offendere, resistenza ed oltraggio a pubblico ufficiale.





(ASIpress) Red - Cronaca Abruzzo - cod.44043 (04/04/2020 15:14:28)   ";2020-04-4; ASIpress;['Polizia', 'Abruzzo', 'Pescara'];https://www.asipress.it/notizia_dettaglio.asp?id=44043;www.asipress.it;['abruzzo']
29337;CORONAVIRUS: PASQUA, IN MARSICA SANZIONATE 30 PERSONE;"  (ASIpress) - Avezzano (L'Aquila) 14 apr. 2020  - 


Controlli dei carabinieri della compagnia di Avezzano, in occasione delle festività pasquali, per il rispetto della normativa sul contenimento del coronavirus. Impiegate anche pattuglie di motociclisti ed un elicottero del 5° Nucleo Elicotteri Carabinieri di Rieti che dall'alto ha sorvegliato il territorio. Nella settimana trascorsa e sino a ieri sono state messe in campo circa 300 pattuglie che hanno controllato oltre 600 persone e 400 veicoli. In tutto sono state sanzionate circa 30 persone e circa 40 tra esercizi pubblici e commerciali. Sul fronte delle attività investigative, inoltre, sono state denunciate all'Autorità giudiziaria otto persone per la commissione di reati che vanno dall'evasione, al furto, alla ricettazione ai maltrattamenti in famiglia. I controlli dell'Arma dei Carabinieri nella Marsica continueranno con la stessa intensità anche nei prossimi giorni.







(ASIpress) Red - Cronaca Abruzzo - cod.44111 (14/04/2020 13:24:23)   ";2020-04-14; ASIpress;['Carabinieri', 'Abruzzo', 'Avezzano'];https://www.asipress.it/notizia_dettaglio.asp?id=44111;www.asipress.it;['abruzzo']
29795;CORONAVIRUS: GDF SEQUESTRA DUE PARAFARMACIE IN ABRUZZO;"  (ASIpress) - Pescara 15 apr. 2020  - 


Stamattina la Guardia di Finanza di Pescara ha dato esecuzione al decreto di sequestro di due punti vendita di una parafarmacia, provvedimento emesso dal gip del locale tribunale sulla scorta di risultanze investigative delle fiamme gialle. Nei due esercizi, già nel mese di marzo, in concomitanza con l'inizio dell'emergenza e con l'applicazione delle prime misure volte al contenimento dell'epidemia, era stata oggetto di attenzione investigativa. I militari, infatti, avevano accertato che oltre 200 mascherine e confezioni di gel disinfettanti erano in vendita a prezzi da capogiro, con ricariche superiori di gran lunga al 500% del loro prezzo d'acquisto. La titolare, una 50enne di Chieti, era stata denunciata alla Procura della Repubblica di Pescara per il reato di ""manovre speculative su merci"", che prevede la reclusione fino a 3 anni e multe fino a 25.000 euro. La storia si è ripetuta in questi giorni, quando le Fiamme Gialle, tornate nuovamente presso l'attività commerciale, hanno riscontrato, ancora una volta, le medesime irregolarità nella vendita dei dispositivi individuali di protezione. In questa seconda occasione è stata accertata la reiterazione della condota illecita con mascherine, confezioni di gel disinfettante e guanti monouso nuovamente venduti con margini di ricarico sproporzionati, fino al 2.900%. A solo titolo esemplificativo, mascherine ""FFP1"" o confezioni di guanti in lattice monouso al prezzo di 17 euro oppure confezioni di gel igienizzanti ad 11 euro. Circa 6.000 i prodotti complessivamente sequestrati nell'occasione con ulteriore denuncia a carico della titolare per lo stesso reato. Il gip ha disposto il sequestro preventivo dei due punti vendita ai quali sono stati apposti i sigilli.





(ASIpress) Red - Cronaca Abruzzo - cod.44123 (15/04/2020 12:30:35)   ";2020-04-15; ASIpress;['Guardia di Finanza', 'Abruzzo', 'Pescara', 'Decreti', 'Giustizia', 'Tribunali'];https://www.asipress.it/notizia_dettaglio.asp?id=44123;www.asipress.it;['abruzzo']
31687;CARABINIERI ABRUZZO SALVANO LUPA INTRAPPOLATA NEL POZZO;"  (ASIpress) - Roccaraso (L'Aquila) 19 apr. 2020  - 


Ieri pomeriggio i Carabinieri Forestali di Roccaraso hanno rinvenuto un esemplare di lupo all'interno di un pozzo, molto probabilmente un'antica neviera, in una zona fuori dal Parco nazionale d'Abruzzo e dall'area contigua. I militari hanno allertato il direttore del Parco nazionale d'Abruzzo, Luciano Sammarone, chiedendo l'intervento degli specialisti del Servizio veterinario per il recupero dell'animale, che era ancora vivo. Giunti sul posto i veterinari hanno proceduto a sedare l'animale, una femmina di circa 4-5 anni, e con una delicata operazione sono riusciti e recuperarla, visitarla ed escludere la presenza di ferite e lesioni, accertando lo stato di denutrizione evidente, forse perché stava nel pozzo da diversi giorni, senza cibo né acqua. Per questo motivo si è deciso di ricoverare il lupo presso le strutture del Parco Nazionale d'Abruzzo, Lazio e Molise a Pescasseroli. Stamattina la lupa è stata nuovamente visitata dai veterinari del Parco e verificate le buone condizioni di salute è stata spostata dalla gabbia dove ha passato la notte in un recinto per favorirne il pieno recupero. Nel giro di pochi giorni, se tutto andrà bene, la lupa sarà restituita al suo mondo naturale. ""Ancora una volta - dichiara il direttore del Parco - strutture di origine antropica abbandonate, si dimostrano trappole pericolosissime per la fauna selvatica ed è solo un caso che stavolta ci sia stato il lieto fine. Proprio per questo, terminata l'emergenza da COVID19, personale dell'Ente verificherà la possibilità di chiudere anche questo pozzo, benché fuori dai confini del Parco, analogamente a quanto fatto in tanti altri Comuni del Parco e del territorio circostante"".





(ASIpress) Red - Ambiente Abruzzo - cod.44163 (19/04/2020 18:20:04)   ";2020-04-19; ASIpress;['Carabinieri', 'Abruzzo'];https://www.asipress.it/notizia_dettaglio.asp?id=44163;www.asipress.it;['abruzzo']
32294;POLIZIA: QUESTURA TERAMO RICORDA SETTIMIO PASSAMONTI;"  (ASIpress) - Teramo 21 apr. 2020  - 


Alle 9.30 Settimio Passamonti è stato ricordato in Questura di Teramo, ove è presente una lapide in ricordo. Si è commemorato il 43/mo anniversario dell'uccisione dell'allievo sottufficiale Settimio Passamonti a cui è dedicata la Caserma, con una cerimonia ristretta a causa della nota emergenza sanitaria in atto. Hanno presieduto la cerimonia il Questore e il Cappellano della Polizia di Stato per la Provincia di Teramo, don Carmelo Le Rose. Era il 21 aprile del 1977 quando a Roma, nel primo pomeriggio, l'Università era stata appena sgombrata e la Polizia stava ai margini del quartiere San Lorenzo limitandosi a brevi cariche di alleggerimento, per disperdere un esiguo gruppo di autonomi. All'improvviso, le Forze dell'Ordine vennero fatte oggetto di una scarica di colpi d'arma da fuoco. A terra restò l'allievo Passamonti, 23 anni. Altri tre agenti ed un carabiniere furono feriti, ma si salvarono. Sull'asfalto dove era appena caduto il giovane uno dei manifestanti scrisse: ""Qui c'era un carruba, Lorusso è vendicato"". Il rito sacrificale degli anni di piombo era stato tristemente celebrato.





(ASIpress) Red - Cronaca Abruzzo - cod.44172 (21/04/2020 11:28:08)   ";2020-04-21; ASIpress;['Polizia', 'Abruzzo', 'Teramo'];https://www.asipress.it/notizia_dettaglio.asp?id=44172;www.asipress.it;['abruzzo']
32572;+++ ASIPRESS: TITOLI NOTIZIE ABRUZZO ORE 18:51:23 +++;"  (ASIpress) - Pescasseroli (L'Aquila) 21 apr. 2020  - 


 
(Cronaca - 21/04/2020 18:51:14 - CORONAVIRUS: 21 APRILE, LA SITUAZIONE IN ITALIA) 
(Ambiente - 21/04/2020 18:07:32 - CORONAVIRUS: WILDERNESS ABRUZZO CHIEDE SGRAVI PER FASE 2) 
(Cronaca - 21/04/2020 17:27:39 - CORONAVIRUS: ARCURI; APP CONTACT-TRACING, RISPETTARE PRIVACY) 
(Cronaca - 21/04/2020 17:11:47 - DROGA: ABRUZZO, ARRESTATO 50ENNE E PROCESSATO ON LINE) 
(Cronaca - 21/04/2020 17:03:15 - CORONAVIRUS: NUMERO VERDE PER STRESS MEDICI E INFERMIERI) 
(Cronaca - 21/04/2020 16:53:56 - CORONAVIRUS: ON. COLLETTI (M5S), GARANTIRE AUTOSUFFICIENZA DPI) 
(Economia - 21/04/2020 16:51:53 - EDILIZIA: FEDERMANAGER E FORMEDIL, PRONTI A RIPARTIRE) 
(Cronaca - 21/04/2020 16:38:26 - CORONAVIRUS: TRUFFE ON LINE FALSA PIATTAFORMA ZOOM) 
(Politica - 21/04/2020 16:29:54 - REGIONE ABRUZZO: GIUNTA, I PROVVEDIMENTI DI OGGI(2)) 
(Politica - 21/04/2020 16:29:12 - REGIONE ABRUZZO: GIUNTA, I PROVVEDIMENTI DI OGGI) 
(Politica - 21/04/2020 16:27:44 - VITIVINICOLO: 3,8 MLN A 70 CANTINE ABRUZZO) 
(Politica - 21/04/2020 16:24:15 - CORONAVIRUS: ABRUZZO, PRIME CIG PER LAVORATORI) 
(Cronaca - 21/04/2020 16:19:20 - CORONAVIRUS: 21 APRILE, LA SITUAZIONE IN ABRUZZO) 
(Cultura - 21/04/2020 11:41:19 - EDITORIA: DIALOGO SU LETTURA AI TEMPI DEL CORONAVIRUS) 
(Cronaca - 21/04/2020 11:36:50 - TRASPORTI: ABRUZZO, TUA ORGANIZZA FASE 2 CORONAVIRUS) 
(Cronaca - 21/04/2020 11:28:08 - POLIZIA: QUESTURA TERAMO RICORDA SETTIMIO PASSAMONTI) 
(Cronaca - 21/04/2020 09:55:41 - METEO: SETTIMANA CON PIOGGE DIFFUSE, MIGLIORA NEL WEEKEND) 
(Cronaca - 21/04/2020 09:13:26 - TEMPERATURE MINIME) 
(NoteServ - 21/04/2020 09:12:30 - BUONGIORNO) - leggi su https://www.asipress.it





(ASIpress) Red - Noteserv Abruzzo - cod.44188 (21/04/2020 18:51:25)   ";2020-04-21; ASIpress;['Abruzzo'];https://www.asipress.it/notizia_dettaglio.asp?id=44188;www.asipress.it;['abruzzo']
