data,denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,nuovi_tamponi,nuovi_casi_testati,nuovi_deceduti
2020-04-24,Marche,705,61,766,2507,3273,43,76,1890,865,6028,49163,33113.0,1501,1440.0,8
2020-04-25,Marche,689,58,747,2525,3272,-1,30,1912,874,6058,50996,34256.0,1833,1143.0,9
2020-04-26,Marche,668,58,726,2582,3308,36,53,1924,879,6111,52063,35107.0,1067,851.0,5
2020-04-27,Marche,667,58,725,2585,3310,2,16,1933,884,6127,52765,35617.0,702,510.0,5
2020-04-28,Marche,666,58,724,2610,3334,24,48,1948,893,6175,54313,36650.0,1548,1033.0,9
2020-04-29,Marche,640,52,692,2655,3347,13,35,1964,899,6210,55905,37877.0,1592,1227.0,6
2020-04-30,Marche,465,48,513,2697,3210,-137,37,2131,906,6247,59488,39145.0,3583,1268.0,7
2020-05-01,Marche,413,44,457,2754,3211,1,28,2153,911,6275,61241,40123.0,1753,978.0,5
2020-05-02,Marche,399,46,445,2760,3205,-6,23,2177,916,6298,62834,41156.0,1593,1033.0,5
2020-05-03,Marche,400,43,443,2755,3198,-7,21,2194,927,6319,64412,42281.0,1578,1125.0,11
2020-05-04,Marche,389,44,433,2773,3206,8,44,2225,932,6363,65398,42838.0,986,557.0,5
2020-05-05,Marche,387,42,429,2790,3219,13,29,2237,936,6392,67256,44045.0,1858,1207.0,4
2020-05-06,Marche,353,42,395,2841,3236,17,29,2242,943,6421,69037,45026.0,1781,981.0,7
2020-05-07,Marche,328,41,369,2878,3247,11,31,2257,948,6452,71017,46258.0,1980,1232.0,5
2020-05-08,Marche,303,38,341,2897,3238,-9,18,2278,954,6470,72504,47092.0,1487,834.0,6
2020-05-09,Marche,285,32,317,2913,3230,-8,23,2305,958,6493,73965,47827.0,1461,735.0,4
