;title;content;date;author;tags;url;website-domain;region
11847;Porto SantElpidio, rinvenuto nelle campagne il cadavere di un uomo di 32 anni;Choc a Porto Sant’Elpidio per il ritrovamento nella mattinata di lunedì 17 gennaio del corpo senza vita di un uomo di 32 anni, accoltellato a morte e poi abbandonato in una zona di campagna. Il cadavere di Mihaita Radu, originario della Romania e noto alle forze dell’ordine per via di alcuni precedenti di poco conto, è stato notato da un passante intorno alle ore 5.00 in un terreno compreso tra le contrade Pescolla e Ponte Serpe.Immediato l’intervento sul posto da parte del personale sanitario del 118, che non ha però potuto fare altro che constatare il decesso del giovane, colpito fatalmente da diverse coltellate. Sul caso indagano ora i Carabinieri, i quali sono al lavoro al fine di appurare se il 32enne sia stato ucciso sul posto o se invece, come appare più probabile, vi sia stato trasportato in un secondo momento.;2020-02-17; Marche Notizie;"['Marche', ""Porto Sant'Elpidio""]";https://www.fermonotizie.info/44930/porto-santelpidio-rinvenuto-nelle-campagne-il-cadavere-di-un-uomo-di-32-anni;www.fermonotizie.info;['marche']
12920;Interrogata dai Carabinieri lex-compagna del giovane trovato morto a Porto SantElpidio;Continuano a Porto Sant’Elpidio le indagini delle forze dell’ordine sul brutale omicidio di Mihaita Radu, il giovane di origini romene trovato morto alla periferia della città nelle prime ore di lunedì 17 febbraio. Secondo i Carabinieri Radu, 31enne impiegato presso uno scatolificio situato in frazione Castellano, sarebbe stato accoltellato ben tredici volte in un luogo diverso da quello dov’è stato rinvenuto il suo cadavere, venendovi successivamente trasportato in piena notte.Mentre proseguono sia la raccolta di testimonianze di suoi conoscenti sia le analisi riguardanti i reperti raccolti sul luogo del ritrovamento del corpo, i Carabinieri hanno interrogato per diverse ore l’ex-partner del 31enne, con cui quest’ultimo aveva un figlio: la coppia si era infatti separata nell’estate scorsa.;2020-02-19; Marche Notizie;"['Carabinieri', 'Marche', ""Porto Sant'Elpidio"", 'Inchieste-investigazioni-indagini', 'Omicidi']";https://www.fermonotizie.info/44948/interrogata-dai-carabinieri-lex-compagna-del-giovane-trovato-morto-a-porto-santelpidio;www.fermonotizie.info;['marche']
35637;Vogliono recarsi a Civitanova Marche per incontrare una prostituta, sanzionati due uomini;Tragicomica situazione quella affrontata nel pomeriggio di lunedì 30 marzo da alcuni agenti della Polizia Locale di Sant’Elpidio a Mare, che in occasione di un controllo stradale istituito in zona Brancadoro hanno fermato due uomini a bordo di un’automobile.Invitato a rendere conto del motivo dello spostamento, il 40enne alla guida della vettura ha dichiarato di essere in procinto di recarsi assieme all’amico a Civitanova Marche per consumare un rapporto sessuale con una prostituta.Inizialmente increduli di fronte alla giustificazione fornita dall’uomo, gli agenti hanno infine sanzionato i due con una multa di 373 euro: entrambi, peraltro, sono stati redarguiti per non aver rispettato nemmeno la distanza minima di un metro all’interno del veicolo sul quale stavano viaggiando.;2020-04-1; Marche Notizie;['Marche', 'Civitanova Marche', 'Polizia Stradale', 'Polizia'];https://www.fermonotizie.info/45463/vogliono-recarsi-a-civitanova-marche-per-incontrare-una-prostituta-sanzionati-due-uomini;www.fermonotizie.info;['marche']
