data,denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,nuovi_tamponi,nuovi_casi_testati,nuovi_deceduti
2020-04-27,Umbria,90,16,106,181,287,-9,2,1018,65,1370,32823,22492.0,254,172.0,1
2020-04-28,Umbria,80,17,97,178,275,-12,9,1039,65,1379,33881,23263.0,1058,771.0,0
2020-04-29,Umbria,77,16,93,168,261,-14,12,1064,66,1391,34937,24079.0,1056,816.0,1
2020-04-30,Umbria,68,16,84,149,233,-28,1,1092,67,1392,36459,25317.0,1522,1238.0,1
2020-05-01,Umbria,60,13,73,131,204,-29,1,1121,68,1393,37762,26285.0,1303,968.0,1
2020-05-02,Umbria,60,13,73,123,196,-8,1,1130,68,1394,38072,26463.0,310,178.0,0
2020-05-03,Umbria,58,13,71,112,183,-13,0,1143,68,1394,38823,26973.0,751,510.0,0
2020-05-04,Umbria,56,13,69,112,181,-2,0,1143,70,1394,39044,27152.0,221,179.0,2
2020-05-05,Umbria,56,11,67,109,176,-5,6,1154,70,1400,39998,27822.0,954,670.0,0
2020-05-06,Umbria,55,9,64,107,171,-5,4,1163,70,1404,41328,28712.0,1330,890.0,0
2020-05-07,Umbria,47,9,56,85,141,-30,1,1194,70,1405,42788,29708.0,1460,996.0,0
2020-05-08,Umbria,47,6,53,66,119,-22,1,1216,71,1406,44223,30704.0,1435,996.0,1
2020-05-09,Umbria,45,6,51,60,111,-8,1,1225,71,1407,45574,31679.0,1351,975.0,0
