data,denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,nuovi_tamponi,nuovi_casi_testati,nuovi_deceduti
2020-04-27,Sardegna,97,19,116,660,776,-7,3,398,109,1283,21395,19424.0,294,262.0,0
2020-04-28,Sardegna,96,18,114,658,772,-4,2,404,109,1285,22116,20053.0,721,629.0,0
2020-04-29,Sardegna,87,17,104,657,761,-11,5,413,116,1290,23299,21071.0,1183,1018.0,7
2020-04-30,Sardegna,87,16,103,641,744,-17,5,435,116,1295,24754,22358.0,1455,1287.0,0
2020-05-01,Sardegna,84,12,96,648,744,0,18,452,117,1313,26242,23442.0,1488,1084.0,1
2020-05-02,Sardegna,86,13,99,631,730,-14,2,466,119,1315,26990,24065.0,748,623.0,2
2020-05-03,Sardegna,92,10,102,587,689,-41,4,511,119,1319,27737,24662.0,747,597.0,0
2020-05-04,Sardegna,91,9,100,553,653,-36,-2,545,119,1317,28052,24926.0,315,264.0,0
2020-05-05,Sardegna,94,9,103,539,642,-11,1,557,119,1318,28867,25631.0,815,705.0,0
2020-05-06,Sardegna,91,11,102,521,623,-19,1,577,119,1319,29966,26598.0,1099,967.0,0
2020-05-07,Sardegna,90,9,99,484,583,-40,5,622,119,1324,31064,27540.0,1098,942.0,0
2020-05-08,Sardegna,90,10,100,453,553,-30,6,658,119,1330,32219,28519.0,1155,979.0,0
2020-05-09,Sardegna,87,11,98,452,550,-3,4,665,119,1334,33330,29503.0,1111,984.0,0
