author,content,date,tags,title,url,website-domain
 La Repubblica,"

Caos nei penitenziari italiani da Salerno a Frosinone, Foggia e Napoli. A Modena detenuti barricati dentro e fiamme Articolo completo »   Commenti »
 Carceri Emilia-Romagna Modena Campania Salerno Lazio Frosinone Puglia Foggia Napoli

",2020-03-8,"['Carceri', 'Emilia-Romagna', 'Modena', 'Campania', 'Salerno', 'Lazio', 'Frosinone', 'Puglia', 'Foggia', 'Napoli']","Coronavirus, violenta rivolta nel carcere di Modena",https://bologna.repubblica.it/cronaca/2020/03/08/news/coronavirus_violenta_rivolta_nel_carcere_di_modena-250646974/?rss,bologna.repubblica.it
 La Repubblica,"

Nelio Pavesi aveva 68 anni ed era ricoverato da alcuni giorni Articolo completo »   Commenti »
 Emilia-Romagna Piacenza

",2020-03-10,"['Emilia-Romagna', 'Piacenza']","Coronavirus, morto consigliere comunale della Lega di Piacenza",https://bologna.repubblica.it/cronaca/2020/03/10/news/coronavirus_morto_consigliere_comunale_della_lega-250848027/?rss,bologna.repubblica.it
 La Repubblica,"

La vittima aveva 41 anni e lavorava in un'azienda del settore carni di Carpi. Sindacati in sciopero: ""Non è una fatalità"" Articolo completo »   Commenti »
 Emilia-Romagna Modena Lavoro Carpi Sindacati Scioperi

",2020-03-11,"['Emilia-Romagna', 'Modena', 'Lavoro', 'Carpi', 'Sindacati', 'Scioperi']","Modena, un morto sul lavoro: incastrato negli ingranaggi di un macello",https://bologna.repubblica.it/cronaca/2020/03/11/news/modena_un_morto_sul_lavoro_incastrato_negli_ingranaggi-250932610/?rss,bologna.repubblica.it
 La Repubblica,"

Sul banco degli imputati un coetaneo del ragazzo ucciso e gettato in un pozzo Articolo completo »   Commenti »
 Omicidi

",2020-03-11,['Omicidi'],"Omicidio del 16enne Giuseppe Balboni, in appello arriva uno sconto di pena",https://bologna.repubblica.it/cronaca/2020/03/11/news/omicidio_balboni-250943768/?rss,bologna.repubblica.it
 La Repubblica,"

Il cadavere è di un nigeriano di 33 anni Articolo completo »   Commenti »
 Ferrara Omicidi

",2020-03-12,"['Ferrara', 'Omicidi']","Ferrara, trovato morto lungo il bordo della statale Adriatica: ipotesi omicidio",https://bologna.repubblica.it/cronaca/2020/03/12/news/trovato_morto_lungo_il_bordo_della_strada_ipotesi_omicidio-251054489/?rss,bologna.repubblica.it
 La Repubblica,"

Nicoletta Coppola, 39 anni, è deceduta dopo aver dato alla luce suo figlio nell'ospedale di Sassuolo Articolo completo »   Commenti »
 Giustizia Emilia-Romagna Modena Sassuolo

",2020-03-12,"['Giustizia', 'Emilia-Romagna', 'Modena', 'Sassuolo']","Donna muore dopo il parto, la procura di Modena apre un fascicolo",https://bologna.repubblica.it/cronaca/2020/03/12/news/donna_muore_dopo_il_parto_sassuolo-251079365/?rss,bologna.repubblica.it
 La Repubblica,"

La donna subìva aggressioni da settimane: è stata la madre a chiamare il 112. In città una 58enne ha spaventato il convivente con martello e forbici Articolo completo »   Commenti »
 Emilia-Romagna Bologna Arresti

",2020-03-13,"['Emilia-Romagna', 'Bologna', 'Arresti']","Bologna, prima le botte, poi minaccia la compagna con una scacciacani: arrestato",https://bologna.repubblica.it/cronaca/2020/03/13/news/bologna_prima_le_botte_poi_minaccia_la_compagna_con_una_scacciacani_arrestato-251175224/?rss,bologna.repubblica.it
 La Repubblica,"

L'uomo era in carcere dal 7 marzo ma l'autopsia sembra scagionarlo Articolo completo »   Commenti »
 Emilia-Romagna Imola Carceri

",2020-03-13,"['Emilia-Romagna', 'Imola', 'Carceri']","Donna morta a Imola, scarcerato il marito: ""Morte naturale""",https://bologna.repubblica.it/cronaca/2020/03/13/news/donna_morta_a_imola_scarcerato_il_marito_morte_naturale_-251192706/?rss,bologna.repubblica.it
 La Repubblica,"

Dopo aver forzato un posto di blocco dei carabinieri, attende la vittima al varco per poi travolgerla ripetutamente con l'auto Articolo completo »   Commenti »
 Emilia-Romagna Forlì Arresti Carabinieri

",2020-03-14,"['Emilia-Romagna', 'Forlì', 'Arresti', 'Carabinieri']","Forlì, evade dai domiciliari per investire un imprenditore. Arrestato",https://bologna.repubblica.it/cronaca/2020/03/14/news/forli_evase_dai_domiciliari_per_investire_un_imprenditore_arrestato-251270148/?rss,bologna.repubblica.it
 La Repubblica,"

Dopo aver forzato un posto di blocco dei carabinieri, attende la vittima al varco per poi travolgerla ripetutamente con l'auto Articolo completo »   Commenti »
 Emilia-Romagna Forlì Arresti Carabinieri

",2020-03-14,"['Emilia-Romagna', 'Forlì', 'Arresti', 'Carabinieri']","Forlì, evade dai domiciliari per investire un imprenditore. Arrestato",https://bologna.repubblica.it/cronaca/2020/03/14/news/forli_evase_dai_domiciliari_per_investire_un_imprenditore_arrestato-251270148/?rss,bologna.repubblica.it
